1 3 5 output 6 7
1 1 1 1 5 5 5 1 1 1 1 1 5 1 5 5 5 5 5 5 5 5 3 3 3 1 1 1 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 5 5 5 5 5 5 5 1 5 1 5 1 5 1 5 1 5 1 1 1 5 1 5 1 5 5 5 1 1 1 1 1 1 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 5 5 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 5 1 5 1 5 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 5 1 5 1 5 1 5 1 5 5 1 1 1 1 1 5 1 5 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 output 6 7
5 5 5 5 5 5 5 1 5 1 5 1 5 1 5 1 1 3 3 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 3 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 3 3 3 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 5 3 5 3 5 3 5 3 5 3 5 3 5 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 3 3 5 3 5 5 5 5 5 1 1 1 1 5 1 1 1 1 3 3 3 3 3 5 3 3 3 5 5 5 5 5 5 5 3 3 3 5 5 3 3 3 3 3 3 3 output 6 7
5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 3 3 3 3 3 3 3 3 3 5 5 3 3 3 3 5 5 5 3 3 3 3 3 3 3 5 5 5 1 1 5 5 5 5 5 3 3 5 5 5 5 5 5 3 3 3 3 3 3 1 1 5 1 5 1 5 1 5 1 5 1 1 5 1 5 1 5 1 5 1 5 1 5 5 5 5 5 3 3 3 3 3 5 5 5 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 1 1 5 1 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 5 1 5 1 1 5 5 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 5 1 5 1 5 1 5 1 5 5 5 1 5 1 5 1 5 1 5 1 5 5 5 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1 1 1 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 5 5 5 5 5 5 5 1 5 5 output 6 7
5 5 5 5 5 5 5 5 5 5 5 1 1 1 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 5 5 5 5 5 1 1 5 5 5 1 1 1 5 5 5 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 5 1 5 1 5 5 1 1 5 5 5 5 5 5 5 5 5 5 5 5 1 3 3 3 3 3 3 3 1 1 1 1 1 1 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 3 5 3 5 3 5 5 5 3 5 3 5 3 3 3 1 1 1 1 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 5 5 5 5 5 3 5 5 5 5 3 3 5 3 5 1 1 1 1 1 3 5 5 5 5 5 5 5 3 5 3 5 3 5 3 3 5 3 5 3 5 5 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 3 5 3 5 3 5 3 5 5 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 5 5 5 5 4 4 4 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 4 4 4 2 4 2 4 2 4 4 4 4 3 3 3 3 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 4 2 4 2 4 2 4 4 3 3 3 3 3 3 3 3 4 2 4 2 4 2 4 2 4 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 4 2 2 4 2 4 2 4 2 4 2 4 2 2 2 4 2 4 2 4 2 4 2 3 1 1 1 1 1 1 1 1 4 1 4 4 4 4 4 4 4 4 4 4 4 4 2 2 2 4 2 output 3 4 5 6 7
2 2 2 2 4 4 4 4 4 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 4 1 4 4 4 2 2 2 2 2 2 4 4 4 4 4 2 4 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 4 4 4 4 4 4 4 4 2 4 2 4 2 4 2 4 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 2 4 2 2 2 2 2 2 1 1 1 1 4 4 2 2 2 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 2 2 2 2 4 4 4 4 2 4 2 4 2 4 4 4 2 2 2 2 4 2 4 2 4 2 2 2 2 2 2 2 2 2 1 1 1 1 1 output 3 4 5
1 1 1 1 1 2 2 3 2 3 2 3 2 3 2 3 2 3 2 2 2 2 2 2 2 2 4 2 4 2 4 2 4 2 4 2 2 2 4 4 4 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 2 2 2 3 2 3 2 3 2 2 2 4 2 4 2 4 2 4 2 4 2 4 4 4 4 4 4 4 4 2 3 2 3 2 3 2 3 2 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 2 3 2 3 2 3 2 3 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 output 3 4 5
2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 1 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 3 2 3 2 2 2 2 2 2 2 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 5 5 5 5 5 5 5 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 3 3 3 5 3 3 3 3 3 3 5 5 5 5 5 5 5 5 3 3 3 5 5 5 5 5 5 5 5 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 output 3 4 5 6 7
3 3 3 3 3 3 3 5 5 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 1 1 4 1 4 1 4 1 4 1 4 4 4 4 4 4 1 4 1 4 1 4 1 4 1 1 1 1 4 1 4 1 4 1 4 1 4 1 4 4 4 4 4 1 4 1 4 1 4 1 4 1 1 1 1 1 1 4 4 4 4 4 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 4 2 4 2 2 4 2 4 2 4 2 4 2 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 4 2 4 4 4 3 3 3 3 3 3 1 1 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 4 4 4 1 1 1 4 1 4 1 4 4 3 3 3 3 3 3 2 2 2 output 3 4 5 6 7
3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 4 1 4 1 4 1 2 2 2 2 2 2 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 1 2 2 1 1 2 2 2 2 2 2 2 2 2 2 1 1 3 1 3 1 3 1 3 1 3 1 3 1 1 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 3 1 3 1 3 2 2 2 2 2 2 2 2 1 1 1 3 1 3 1 1 1 1 1 1 1 1 3 1 3 1 3 2 2 1 1 1 1 2 2 2 2 2 1 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 1 3 1 3 1 3 1 1 3 1 3 1 3 1 3 1 3 1 1 3 1 3 1 3 2 2 1 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 2 2 1 1 3 1 3 1 3 1 3 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 1 3 1 3 1 3 1 3 2 2 2 2 2 2 2 2 1 2 2 4 2 4 2 4 2 4 2 2 2 2 4 2 4 2 4 2 4 2 2 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 4 4 4 output 1 2 3 4 5
4 4 4 3 3 3 3 3 3 3 3 4 1 4 1 4 1 4 1 4 2 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 2 2 4 2 4 2 4 2 4 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 4 1 4 1 4 3 3 3 3 4 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 3 3 3 3 2 2 2 3 3 4 2 2 2 2 2 2 2 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 4 2 4 2 4 2 2 2 2 2 2 4 2 4 2 4 2 4 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 1 4 1 4 1 4 1 4 1 4 1 1 4 3 3 3 3 3 3 1 4 4 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 output 3 4 5 6 7
